,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated
2025-01-01 00:00:00+01:00,0.0,177.86,79.95,,2713.28,8151.51,0.0,46.6,0.0,20.85,,,1783.07
2025-01-01 01:00:00+01:00,0.0,178.54,84.22,,2684.89,7559.96,0.0,46.22,0.0,20.34,,,1697.37
2025-01-01 02:00:00+01:00,0.0,178.16,84.5,,2650.66,8314.64,0.0,46.67,0.0,20.61,,,1763.2
2025-01-01 03:00:00+01:00,0.0,177.99,83.9,,2642.87,8241.32,0.0,46.4,0.0,21.12,,,1652.9
2025-01-01 04:00:00+01:00,0.0,178.44,82.95,,2659.4,8953.15,0.0,46.68,0.0,21.64,,,1454.87
2025-01-01 05:00:00+01:00,0.0,178.06,81.94,,2650.0,9033.91,0.0,46.28,0.0,22.0,,,1146.91
2025-01-01 06:00:00+01:00,0.0,178.58,79.61,,2650.22,8028.43,0.0,46.74,0.0,21.47,,,1106.82
2025-01-01 07:00:00+01:00,0.0,178.45,78.59,,2651.65,7881.83,0.0,46.02,0.0,21.52,,,1051.36
2025-01-01 08:00:00+01:00,0.0,176.23,80.02,,2659.47,8627.64,0.0,45.23,0.0,21.32,,,857.8
2025-01-01 09:00:00+01:00,0.0,170.59,79.85,,2656.08,9533.39,0.0,44.79,0.0,21.23,,,843.66
2025-01-01 10:00:00+01:00,0.0,176.6,84.54,,2672.66,10305.06,0.0,46.28,0.23,21.57,,,880.81
2025-01-01 11:00:00+01:00,0.0,176.95,54.66,,2684.41,11282.0,0.0,43.93,0.28,21.5,,,873.88
2025-01-01 12:00:00+01:00,0.0,175.03,52.51,,2646.92,12390.32,0.0,44.8,0.43,22.21,,,846.99
2025-01-01 13:00:00+01:00,0.0,177.13,52.18,,2638.96,12814.34,0.0,44.84,0.3,22.22,,,834.53
2025-01-01 14:00:00+01:00,0.0,177.2,52.13,,2646.97,12473.76,0.0,42.98,0.0,22.66,,,816.8
2025-01-01 15:00:00+01:00,0.0,175.55,64.77,,2647.5,12481.21,0.0,35.58,0.0,23.84,,,868.2
2025-01-01 16:00:00+01:00,0.0,174.24,83.92,,2654.13,12695.92,0.0,35.89,0.0,24.86,,,978.4
2025-01-01 17:00:00+01:00,0.0,170.19,86.19,,2672.95,13033.91,0.0,34.88,0.0,24.08,,,1019.22
2025-01-01 18:00:00+01:00,0.0,165.38,86.41,,2653.97,12774.8,0.0,34.58,0.0,22.65,,,1056.25
2025-01-01 19:00:00+01:00,0.0,173.69,85.62,,2625.92,12387.0,0.0,34.99,0.0,22.3,,,1244.38
2025-01-01 20:00:00+01:00,0.0,176.39,82.42,,2608.43,12232.74,0.0,40.07,0.0,22.53,,,1256.64
2025-01-01 21:00:00+01:00,0.0,170.34,75.92,,2593.4,11903.56,0.0,44.83,0.0,22.94,,,1301.41
2025-01-01 22:00:00+01:00,0.0,176.45,76.26,,2554.32,12165.07,0.0,44.96,0.0,23.12,,,1510.67
2025-01-01 23:00:00+01:00,0.0,177.59,75.64,,2540.16,11359.62,0.0,43.88,0.0,23.32,,,1782.76
2025-01-02 00:00:00+01:00,0.0,175.92,76.82,,2535.19,11806.46,0.0,44.77,0.0,20.46,,,1747.68
2025-01-02 01:00:00+01:00,0.0,173.54,79.64,,2541.0,11264.6,0.0,45.04,0.0,20.37,,,1885.91
2025-01-02 02:00:00+01:00,0.0,175.1,72.94,,2528.96,10887.39,0.0,43.18,0.0,20.0,,,2124.43
2025-01-02 03:00:00+01:00,0.0,172.63,66.84,,2536.37,10795.1,0.0,43.06,0.0,20.5,,,2321.53
2025-01-02 04:00:00+01:00,0.0,170.97,74.4,,2552.47,12183.86,0.0,44.44,0.0,20.42,,,2522.38
2025-01-02 05:00:00+01:00,0.0,169.42,326.31,,2579.08,14558.11,0.0,45.27,0.0,20.38,,,2508.74
2025-01-02 06:00:00+01:00,0.0,169.7,643.99,,2623.65,17163.77,0.0,44.02,0.0,20.8,,,2614.26
2025-01-02 07:00:00+01:00,0.0,169.97,674.11,,2707.37,18507.9,0.0,43.01,0.0,20.49,,,2673.57
2025-01-02 08:00:00+01:00,0.0,171.18,704.27,,2754.62,18885.08,0.0,43.93,0.0,20.25,,,2700.74
