,std,Minste månedlig last,Maksimale månedlig last
Jan,1599.4511477694139,16044.31,23414.45
Feb,1370.5178956265459,15787.15,22580.13
Mar,1132.1819114675422,14062.85,21388.71
Apr,1011.3376064139757,12629.49,18677.24
May,897.1865808982539,11672.24,16529.73
Jun,846.1270952782862,10424.07,14514.56
Jul,750.4582317003274,8132.75,13918.77
Aug,934.5194642808782,10493.05,15308.68
Sep,1044.542255734001,11207.17,16173.05
Oct,1343.101181020957,11980.32,18782.19
Nov,2024.6072159601902,13137.72,22193.98
Dec,1399.4582155064866,14775.15,21598.76
